#{"t_start": 1651075253.3113332, "env_id": "Pendulum-v1"}
r,l,t
-1496.560824,200,0.06529
-1212.010503,200,0.113239
-1464.606359,200,0.157463
-1327.146053,200,0.198754
-776.155285,200,0.241327
-1515.629273,200,0.285928
-1456.581609,200,0.328802
-884.08483,200,0.371972
-1623.876429,200,0.417511
-1655.045715,200,0.468323
-1760.055489,200,0.561781
-1056.417487,200,0.605148
-897.036057,200,0.647013
-1007.452936,200,0.692965
-1314.392649,200,0.735625
-1381.058283,200,0.779723
-884.753454,200,0.824849
-990.539435,200,0.870338
-1649.041127,200,0.912918
-1185.713143,200,0.955506
-1180.404706,200,1.000642
-703.393828,200,1.04624
-1277.173264,200,1.089504
-1421.912215,200,1.131735
-1103.023399,200,1.174276
-1273.192189,200,1.219788
-1550.944704,200,1.261655
-1201.305169,200,1.30273
-1093.873347,200,1.346188
-992.913245,200,1.390837
-1083.190219,200,1.432675
